;How did you arrive at the event?;City;lat;lon;dist
0;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
1;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
2;Public transport;Baden;48.1928371;8.1390286;96.96030608
3;Public transport;Zurich;47.3744489;8.5410422;1.940668975
4;Public transport;Winterthur ;47.4991723;8.7291498;21.76285062
5;Public transport;Zurich;47.3744489;8.5410422;1.940668975
6;Bike;Zurich;47.3744489;8.5410422;1.940668975
7;Public transport;Zurich;47.3744489;8.5410422;1.940668975
8;Public transport;Lisbon;38.7077507;-9.1365919;1724.506652
9;Public transport;Schwanden;46.9955628;9.0713622;57.95980198
10;Bike, Public transport, Walking;Freudwil;47.3751446;8.7351966;15.92642941
11;Public transport;Zurich;47.3744489;8.5410422;1.940668975
12;Car;Zug;47.1486137;8.5539378;23.66453645
13;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
14;Walking;Paris;48.8534951;2.3483915;488.8707395
15;Car;Luzern ;47.0505452;8.3054682;38.28589775
16;Public transport;Lugano (CH);46.0050102;8.9520281;154.1848704
17;Public transport;Zurich;47.3744489;8.5410422;1.940668975
18;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
19;Public transport;Legnago;45.192498;11.3111274;322.7265391
20;Public transport;Kreuzlingen ;47.6464362;9.1725621;58.19742441
21;Public transport;Langwiesen;47.6845666;8.6607483;37.43451071
22;Public transport;Paris ;48.8534951;2.3483915;488.8707395
23;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
24;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
25;Public transport;Amsterdam ;52.3730796;4.8924534;615.4743243
26;Public transport;Basel;47.5581077;7.5878261;74.02888461
27;Public transport;Zurich;47.3744489;8.5410422;1.940668975
28;Car;Helsinki;60.1674881;24.9427473;1779.452982
29;Public transport;Wollerau;47.1957261;8.7194595;23.48257165
30;Car;Zurich;47.3744489;8.5410422;1.940668975
31;Public transport;Zurich;47.3744489;8.5410422;1.940668975
32;Public transport;Zurich;47.3744489;8.5410422;1.940668975
33;Public transport;Zurich;47.3744489;8.5410422;1.940668975
34;Car;Bludenz;47.153037;9.8219314;100.8079221
35;Bike;Zurich;47.3744489;8.5410422;1.940668975
36;Public transport;St Gallen ;47.425618;9.3762397;64.6381493
37;Public transport;Reinach AG;47.2539675;8.182824;28.49047976
38;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
39;Public transport;Lucern;47.0505452;8.3054682;38.28589775
40;Public transport;Trento;46.0664228;11.1257601;245.3931951
41;Car;Worblaufen;46.9796826;7.4598942;91.20801559
42;Public transport;Wettingen;47.465839;8.3266114;19.0283344
43;Car;Bern;46.9484742;7.4521749;93.39982451
44;Walking;Solothurn;47.31874;7.6698284;64.82712078
45;Public transport;Zurich;47.3744489;8.5410422;1.940668975
46;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
47;Public transport;Basel;47.5581077;7.5878261;74.02888461
48;Public transport;Zurich;47.3744489;8.5410422;1.940668975
49;Bike;Zurich;47.3744489;8.5410422;1.940668975
50;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
51;Public transport;Nyon;46.3820585;6.2402791;205.3759785
52;Public transport;Horgen;47.260692;8.5976831;12.37666654
53;Public transport;Zurich;47.3744489;8.5410422;1.940668975
54;Public transport;Zurich ;47.3744489;8.5410422;1.940668975
55;Public transport;Wettingen;47.465839;8.3266114;19.0283344
56;Public transport;Wadenswil ;47.2278988;8.6701365;18.36842895
57;Public transport;Zurich;47.3744489;8.5410422;1.940668975
58;Car;Flims;46.8332439;9.2834557;82.14993957
59;Public transport;Solothurn;47.31874;7.6698284;64.82712078
60;Public transport;Zurich;47.3744489;8.5410422;1.940668975
61;Public transport, Walking;Zurich;47.3744489;8.5410422;1.940668975
62;Public transport;Bassersdorf ;47.4435706;8.6299131;12.13765391
63;Public transport;Geneva;46.2017559;6.1466014;222.6856069
64;Public transport;Zurich;47.3744489;8.5410422;1.940668975
65;Car;Luzern;47.0505452;8.3054682;38.28589775
